outliers,auc,trials,sigma
250,0.1493100421140292,2,1e-05
250,0.14934302673438957,3,1e-05
250,0.14930977546412835,4,1e-05
250,0.1493380456975515,5,1e-05
250,0.1493648866829743,6,1e-05
250,0.14930298637710054,7,1e-05
250,0.14936721140391024,8,1e-05
250,0.14936895438332967,9,1e-05
275,0.14932861902037917,0,1e-05
275,0.1492858928568558,1,1e-05
275,0.1492970595767751,2,1e-05
275,0.1493507038324464,3,1e-05
275,0.1494739977924927,4,1e-05
275,0.14932493918364073,5,1e-05
275,0.1493055246741385,6,1e-05
275,0.1492906561211258,7,1e-05
275,0.14927189624294956,8,1e-05
275,0.1494149394845882,9,1e-05
300,0.14929388341106878,0,1e-05
300,0.14923705926735997,1,1e-05
300,0.14923879852315872,2,1e-05
300,0.14924475493774922,3,1e-05
300,0.1492986095996507,4,1e-05
300,0.14926199345340416,5,1e-05
300,0.14923697736914493,6,1e-05
300,0.14924745323700808,7,1e-05
300,0.1493073305083672,8,1e-05
300,0.149258507393679,9,1e-05
325,0.14930331929358512,0,1e-05
325,0.14923009033712087,1,1e-05
325,0.14924111731611692,2,1e-05
325,0.1493013157026381,3,1e-05
325,0.14924310723256953,4,1e-05
325,0.14929442737294712,5,1e-05
325,0.14924239241058324,6,1e-05
325,0.14932898411406925,7,1e-05
325,0.14927158839293334,8,1e-05
325,0.14923966154137006,9,1e-05
350,0.14925234509680346,0,1e-05
350,0.1492472325975504,1,1e-05
350,0.14926081723705523,2,1e-05
350,0.1492355684762379,3,1e-05
350,0.14923382990198805,4,1e-05
350,0.14923628459685787,5,1e-05
350,0.14923294882764238,6,1e-05
350,0.14925255717797775,7,1e-05
350,0.14924771854137747,8,1e-05
350,0.14927834806134527,9,1e-05
375,0.14923582504859223,0,1e-05
375,0.1492316257000035,1,1e-05
375,0.14923505002498688,2,1e-05
375,0.14923936724932887,3,1e-05
375,0.1492587295045348,4,1e-05
375,0.14924247576424132,5,1e-05
375,0.14927167197817942,6,1e-05
375,0.14926469312333568,7,1e-05
375,0.1492395535799072,8,1e-05
375,0.14923156333786283,9,1e-05
400,0.14921900876667463,0,1e-05
400,0.1492349212837722,1,1e-05
400,0.1492104177804816,2,1e-05
400,0.14923098743568547,3,1e-05
400,0.1492097335832385,4,1e-05
400,0.14922191679238722,5,1e-05
400,0.1492341833431072,6,1e-05
400,0.14922185613484426,7,1e-05
400,0.1492200033800974,8,1e-05
400,0.1492283839392706,9,1e-05
425,0.1492215344843058,0,1e-05
425,0.14921953099215035,1,1e-05
425,0.14921856690032803,2,1e-05
425,0.14922585590946527,3,1e-05
425,0.14921401884649185,4,1e-05
425,0.14922567394022077,5,1e-05
425,0.14921274081261351,6,1e-05
425,0.1492124626772654,7,1e-05
425,0.14921444888653598,8,1e-05
425,0.14920632409600837,9,1e-05
450,0.14920828812052692,0,1e-05
450,0.1492115256462764,1,1e-05
450,0.14923028370252958,2,1e-05
450,0.14922173489792134,3,1e-05
450,0.14920854536621142,4,1e-05
450,0.14921693785773082,5,1e-05
450,0.1492202131387832,6,1e-05
450,0.14921919573496623,7,1e-05
450,0.14922365982224983,8,1e-05
450,0.14921468201031557,9,1e-05
475,0.14920058445607814,0,1e-05
475,0.1492116927021835,1,1e-05
475,0.14921645702205658,2,1e-05
475,0.14921646631394408,3,1e-05
475,0.14922207034398582,4,1e-05
475,0.14920205391643962,5,1e-05
475,0.14920686901324795,6,1e-05
475,0.14921784376099367,7,1e-05
475,0.14921568295896964,8,1e-05
